,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
12,0329S612,11,OUT,7,0.2,20,45,0.382,0.443,0.319,0.618,-0.666,0.565,2.99,167.0,0.68,NG,N
1,0329S612,5,OUT,2,0.25,32,40,0.423,0.328,0.373,0.65,0.572,0.611,2.96,103.0,0.6,NG,N
2,0329S612,5,OUT,3,0.25,34,40,0.397,0.309,0.417,0.63,-0.556,0.646,2.95,116.0,0.6,NG,N
0,0329S612,5,OUT,1,0.2,30,40,0.372,0.374,0.336,0.61,0.612,0.58,2.88,90.0,0.6,NG,N
3,0329S612,5,OUT,4,0.2,26,40,0.349,0.328,0.322,0.591,0.573,0.567,2.73,129.0,0.6,NG,N
11,0329S612,11,OUT,6,0.2,20,55,0.338,0.304,0.331,0.581,0.551,0.575,2.68,154.0,0.82,NG,N
13,0329S612,2,IN,6,0.2,20,35,0.304,0.334,0.304,0.552,-0.578,0.552,2.62,225.0,-0.7,NG,N
0,0329X092,,,,,,,,,,,,,,,,X,N
0,0329X093,,,,,,,,,,,,,,,,OK,N
0,0329X331,,,,,,,,,,,,,,,,OK,N
0,0329X431,,,,,,,,,,,,,,,,X,N
0,0329X521,,,,,,,,,,,,,,,,OK,N
0,0329Y871,,,,,,,,,,,,,,,,OK,N
0,0331D551,,,,,,,,,,,,,,,,OK,N
0,0331D552,,,,,,,,,,,,,,,,OK,N
0,0331D782,,,,,,,,,,,,,,,,OK,N
0,0331D922,,,,,,,,,,,,,,,,OK,N
0,0331E321,,,,,,,,,,,,,,,,OK,N
0,0331F755,,,,,,,,,,,,,,,,OK,N
0,0331F756,,,,,,,,,,,,,,,,OK,N
0,0331F851,,,,,,,,,,,,,,,,OK,N
0,0331G451,,,,,,,,,,,,,,,,OK,N
0,0331G891,,,,,,,,,,,,,,,,OK,N
0,0331H375,,,,,,,,,,,,,,,,OK,N
0,0331P922,,,,,,,,,,,,,,,,OK,N
0,0331Q032,,,,,,,,,,,,,,,,OK,N
0,0331Q541,,,,,,,,,,,,,,,,X,N
0,0331Q752,,,,,,,,,,,,,,,,OK,N
0,0331S831,,,,,,,,,,,,,,,,X,N
0,0331W011,,,,,,,,,,,,,,,,OK,N
0,0332P103,,,,,,,,,,,,,,,,OK,N
0,0332Z531,,,,,,,,,,,,,,,,OK,N
0,0332Z711,,,,,,,,,,,,,,,,OK,N
0,0429P173,,,,,,,,,,,,,,,,OK,N
0,0430C092,,,,,,,,,,,,,,,,OK,N
0,0430C381,,,,,,,,,,,,,,,,OK,N
0,0432P901,,,,,,,,,,,,,,,,OK,N
0,0432R115,,,,,,,,,,,,,,,,X,N
0,0432R723,,,,,,,,,,,,,,,,OK,N
